代码,行业,市值$B,财报判定,综合决策,买入区
INTU,软件,89,超预期,观望,2026-08
CTSH,软件/IT服务,26,符合预期,观望,$48-53
GIB,软件/IT服务,17,超预期,观望,$60–66
INFY,软件/IT服务,51,低于预期,观望,$10.5-11.5
WIT,软件/IT服务,21,低于预期,观望,$1.50–1.70
ROP,软件/工业,40,超预期,观望,$320-360
PTC,软件/工业软件,16,超预期,观望,$115-135
IT,软件/研究咨询,12,—,观望,$150-160
CHKP,软件/网络安全,13,—,观望,
GEN,软件/网络安全,17,超预期,观望,$22–25
SEIC,软件/资管,13,超预期,观望,
ZM,软件/通信,31,—,观望,$85–92
FDS,软件/金融数据,10,—,观望,$230-260
BR,软件/金融科技,19,超预期,观望,$140-155
ERIC,通信设备,34,—,观望,
SYF,金融/消费金融,29,超预期,观望,$70–73
IX,金融/租赁,45,超预期,观望,$36-43
KSPI,金融科技,17,符合预期,观望,$85-90
FUTU,金融科技/券商,15,混合,观望,$85-100
PAYP,金融科技/支付,10,超预期,观望,
FIS,金融科技/软件,22,低于预期,观望,$38–40
FISV,金融科技/软件,28,低于预期,观望,盈利下修周期中，观望
BPOP,银行,11,超预期,观望,$135-$155
BSBR,银行,43,低于预期,**回避**,$4.5–5.0
CFG,银行,31,超预期,观望,$60-65
CFR,银行,10,超预期,观望,$145-155
EWBC,银行,18,超预期,观望,$100-115
FCNCA,银行,26,混合,观望,100–$2
HBAN,银行,35,—,观望,$15.5-16.5
ITUB,银行,88,低于预期,观望,买入区见报告（约$6-7）
MTB,银行,36,超预期,观望,$195-$225
ONB,银行,10,超预期,观望,$22-24
RF,银行,27,超预期,观望,$26-28
SSB,银行,10,超预期,观望,$100以下开始建仓
TFC,银行,64,超预期,观望,$42-46
USB,银行,99,超预期,观望,$52-58
WBS,银行,13,符合预期,**回避**,并购对价~$78.98（8/20交割）
WF,银行,18,超预期,观望,$62-67
WTFC,银行,11,混合,观望,$140-150
ZION,银行,10,混合,观望,$52–60
ALLY,银行/汽车金融,13,混合,观望,$38–40
STT,银行/资产托管,51,混合,观望,$150-165
TGT,零售,68,超预期,观望,$115–125
TSCO,零售,18,—,观望,无安全边际，拐点未现
BBY,零售/消费电子,17,—,观望,$65-72
ABEV,食品饮料/啤酒,47,超预期,观望,$2.50-2.70
MKC,食品饮料/调味品,14,—,观望,$44-$48
STZ,食品饮料/酒类,23,—,观望,接近买入区上沿，不追
AEM,黄金矿业,91,超预期,观望,$150-165
AGI,黄金矿业,14,混合,观望,$28-30
AU,黄金矿业,49,超预期,观望,$70-80
B,黄金矿业,73,超预期,观望,$33-37
GFI,黄金矿业,37,超预期,观望,$30-35
HMY,黄金矿业,13,超预期,观望,$14–16
IAG,黄金矿业,11,低于预期,观望,$13-16
KGC,黄金矿业,33,超预期,观望,$22-25
